Time:9002,AccPitch:116.99, AccRoll:109.06
Time:9008,AccPitch:113.42, AccRoll:105.23
Time:9014,AccPitch:112.94, AccRoll:102.85
Time:9019,AccPitch:114.67, AccRoll:103.75
Time:9025,AccPitch:116.54, AccRoll:103.74
Time:9031,AccPitch:113.05, AccRoll:101.09
Time:9037,AccPitch:119.05, AccRoll:103.82
Time:9043,AccPitch:114.77, AccRoll:102.04
Time:9049,AccPitch:113.62, AccRoll:100.30
Time:9055,AccPitch:114.11, AccRoll:100.07
Time:9061,AccPitch:114.64, AccRoll:100.71
Time:9067,AccPitch:115.65, AccRoll:101.92
Time:9072,AccPitch:117.64, AccRoll:105.14
Time:9078,AccPitch:118.80, AccRoll:106.96
Time:9084,AccPitch:117.61, AccRoll:106.03
Time:9090,AccPitch:118.05, AccRoll:106.35
Time:9096,AccPitch:116.27, AccRoll:104.33
Time:9102,AccPitch:114.69, AccRoll:103.18
Time:9108,AccPitch:111.11, AccRoll:101.18
Time:9114,AccPitch:109.82, AccRoll:100.22
Time:9120,AccPitch:106.34, AccRoll:098.91
Time:9126,AccPitch:108.82, AccRoll:101.02
Time:9131,AccPitch:107.01, AccRoll:100.73
Time:9137,AccPitch:108.26, AccRoll:101.68
Time:9143,AccPitch:107.95, AccRoll:101.72
Time:9149,AccPitch:108.86, AccRoll:102.35
Time:9155,AccPitch:108.31, AccRoll:101.39
Time:9161,AccPitch:110.03, AccRoll:101.74
Time:9167,AccPitch:111.24, AccRoll:101.71
Time:9173,AccPitch:112.23, AccRoll:102.79
Time:9179,AccPitch:112.87, AccRoll:103.07
Time:9184,AccPitch:114.91, AccRoll:104.10
Time:9190,AccPitch:113.70, AccRoll:103.39
Time:9196,AccPitch:116.07, AccRoll:105.05
Time:9202,AccPitch:113.57, AccRoll:103.59
Time:9208,AccPitch:112.21, AccRoll:102.53
Time:9214,AccPitch:111.76, AccRoll:102.20
Time:9220,AccPitch:112.89, AccRoll:102.55
Time:9226,AccPitch:113.88, AccRoll:103.67
Time:9232,AccPitch:110.29, AccRoll:101.27
Time:9237,AccPitch:111.08, AccRoll:102.75
Time:9243,AccPitch:110.04, AccRoll:101.62
Time:9249,AccPitch:111.81, AccRoll:102.47
Time:9255,AccPitch:111.67, AccRoll:102.40
Time:9261,AccPitch:112.65, AccRoll:102.66
Time:9267,AccPitch:111.42, AccRoll:102.31
Time:9273,AccPitch:111.73, AccRoll:102.31
Time:9279,AccPitch:110.33, AccRoll:101.77
Time:9285,AccPitch:111.53, AccRoll:102.33
Time:9291,AccPitch:110.81, AccRoll:101.84
Time:9296,AccPitch:111.80, AccRoll:102.35
Time:9302,AccPitch:112.49, AccRoll:102.55
Time:9308,AccPitch:113.04, AccRoll:102.81
Time:9314,AccPitch:112.23, AccRoll:102.70
Time:9320,AccPitch:112.90, AccRoll:103.27
Time:9326,AccPitch:111.92, AccRoll:102.98
Time:9332,AccPitch:113.62, AccRoll:103.56
Time:9338,AccPitch:112.97, AccRoll:102.95
Time:9344,AccPitch:111.41, AccRoll:102.39
Time:9349,AccPitch:113.21, AccRoll:103.37
Time:9355,AccPitch:111.71, AccRoll:102.55
Time:9361,AccPitch:111.26, AccRoll:102.32
Time:9367,AccPitch:110.35, AccRoll:102.09
Time:9373,AccPitch:112.57, AccRoll:102.77
Time:9379,AccPitch:113.30, AccRoll:103.34
Time:9385,AccPitch:111.74, AccRoll:102.61
Time:9391,AccPitch:111.85, AccRoll:102.18
Time:9397,AccPitch:112.57, AccRoll:103.12
Time:9403,AccPitch:112.19, AccRoll:102.97
Time:9408,AccPitch:112.91, AccRoll:103.02
Time:9414,AccPitch:112.55, AccRoll:102.92
Time:9420,AccPitch:112.41, AccRoll:102.77
Time:9426,AccPitch:113.06, AccRoll:103.17
Time:9432,AccPitch:112.39, AccRoll:102.88
Time:9438,AccPitch:112.40, AccRoll:102.87
Time:9444,AccPitch:111.24, AccRoll:101.90
Time:9450,AccPitch:110.77, AccRoll:101.90
Time:9456,AccPitch:111.50, AccRoll:102.09
Time:9461,AccPitch:111.28, AccRoll:102.13
Time:9467,AccPitch:112.04, AccRoll:102.33
Time:9473,AccPitch:112.30, AccRoll:103.02
Time:9479,AccPitch:111.24, AccRoll:102.29
Time:9485,AccPitch:111.57, AccRoll:102.54
Time:9491,AccPitch:112.01, AccRoll:102.39
Time:9497,AccPitch:111.05, AccRoll:102.02
Time:9503,AccPitch:112.23, AccRoll:102.87
Time:9509,AccPitch:112.73, AccRoll:102.48
Time:9514,AccPitch:111.09, AccRoll:102.20
Time:9520,AccPitch:112.51, AccRoll:102.67
Time:9526,AccPitch:112.10, AccRoll:102.39
Time:9532,AccPitch:111.81, AccRoll:102.66
