Time:8271,AccPitch:108.19, AccRoll:100.55
Time:8277,AccPitch:107.83, AccRoll:100.28
Time:8283,AccPitch:109.37, AccRoll:101.12
Time:8288,AccPitch:109.49, AccRoll:101.56
Time:8294,AccPitch:109.87, AccRoll:101.69
Time:8300,AccPitch:110.42, AccRoll:101.84
Time:8306,AccPitch:109.37, AccRoll:101.31
Time:8312,AccPitch:109.82, AccRoll:101.45
Time:8318,AccPitch:109.50, AccRoll:101.61
Time:8324,AccPitch:109.17, AccRoll:101.39
Time:8330,AccPitch:109.65, AccRoll:101.36
Time:8336,AccPitch:110.50, AccRoll:102.04
Time:8341,AccPitch:109.20, AccRoll:100.83
Time:8347,AccPitch:109.33, AccRoll:101.05
Time:8353,AccPitch:109.87, AccRoll:101.55
Time:8359,AccPitch:110.76, AccRoll:102.07
Time:8365,AccPitch:108.09, AccRoll:100.69
Time:8371,AccPitch:108.26, AccRoll:100.98
Time:8377,AccPitch:109.48, AccRoll:101.28
Time:8383,AccPitch:110.28, AccRoll:101.77
Time:8389,AccPitch:135.52, AccRoll:-138.15
Time:8395,AccPitch:134.35, AccRoll:142.24
Time:8401,AccPitch:015.21, AccRoll:062.09
Time:8406,AccPitch:-051.15, AccRoll:073.36
Time:8412,AccPitch:-020.05, AccRoll:054.04
Time:8418,AccPitch:002.59, AccRoll:051.75
Time:8424,AccPitch:032.64, AccRoll:077.82
Time:8430,AccPitch:078.10, AccRoll:087.26
Time:8436,AccPitch:-037.66, AccRoll:071.46
Time:8442,AccPitch:039.69, AccRoll:070.82
Time:8448,AccPitch:100.73, AccRoll:094.90
Time:8454,AccPitch:120.24, AccRoll:108.83
Time:8460,AccPitch:086.11, AccRoll:087.61
Time:8466,AccPitch:105.41, AccRoll:107.43
Time:8471,AccPitch:125.40, AccRoll:120.32
Time:8477,AccPitch:122.94, AccRoll:124.96
Time:8483,AccPitch:117.53, AccRoll:117.17
Time:8489,AccPitch:121.27, AccRoll:117.36
Time:8495,AccPitch:125.40, AccRoll:116.97
Time:8501,AccPitch:121.59, AccRoll:110.02
